,USA360
1885-02-17,1.0
1885-02-18,1.0
1885-02-19,1.0063896266171564
1885-02-20,0.998433601902199
1885-02-21,1.0130335432784814
1885-02-24,1.0260537455762277
1885-02-25,1.0406321663222036
1885-02-26,1.026566801325331
1885-02-27,1.0104237936922011
1885-02-28,1.0147626613629162
1885-03-02,1.0152312815401052
1885-03-03,1.0134124230845585
1885-03-04,1.0054295639168156
1885-03-05,1.0118314003953695
1885-03-06,1.0100093942378952
1885-03-07,1.0246386682921804
1885-03-09,1.027165690665075
1885-03-10,1.0274028646301263
1885-03-11,1.033804510546752
1885-03-12,1.0258275524399312
1885-03-13,1.0198957439491092
1885-03-14,1.0242474104374253
1885-03-16,1.0206051309236441
1885-03-17,1.0105432046447684
1885-03-18,1.0066518743136188
1885-03-19,0.994501805639317
1885-03-20,0.9926643436462256
1885-03-21,0.9804852469074099
1885-03-23,0.9892238284996292
1885-03-24,0.9790998992454562
1885-03-25,0.987619526841151
1885-03-26,0.9940633567746695
1885-03-27,0.9942928873654797
1885-03-28,0.9945224709552178
1885-03-30,0.9846221350845741
1885-03-31,0.9869211599068486
1885-04-01,0.9007976993829612
1885-04-02,0.9008764266339485
1885-04-04,0.9010338948970154
1885-04-06,0.9011913906846717
1885-04-07,0.8899264844884279
1885-04-08,0.8937911828356062
1885-04-09,0.9127966404315854
1885-04-10,0.9053222372639195
1885-04-11,0.9186346084268493
1885-04-13,0.9187951807227884
1885-04-14,0.9207634162071914
1885-04-15,0.9359452473973148
1885-04-16,0.9284892323747053
1885-04-17,0.9229114160710464
1885-04-18,0.9192165292981778
1885-04-20,0.9231548054858947
1885-04-21,0.9213472154936636
1885-04-22,0.9233166054448614
1885-04-23,0.9252859029340434
1885-04-24,0.9215900932320972
1885-04-25,0.9216706376813415
1885-04-27,0.9218317406585586
1885-04-28,0.9238021662877014
1885-04-29,0.925772499406204
1885-04-30,0.9277400017456776
1885-05-01,0.9263218013734769
1885-05-02,0.924499582818534
1885-05-04,0.9037567503157461
1885-05-05,0.9000219775601156
1885-05-06,0.9096262868653324
1885-05-07,0.9001824036026962
1885-05-08,0.9116946934647614
1885-05-09,0.9174816391222747
1885-05-11,0.9081208071947572
1885-05-12,0.9043858468085966
1885-05-13,0.9044608736673404
1885-05-14,0.9045359067502302
1885-05-15,0.9103304939458984
1885-05-16,0.9161220426489697
1885-05-18,0.9162740436103473
1885-05-19,0.9182545524035236
1885-05-20,0.9126180862661071
1885-05-21,0.9184108931225504
1885-05-22,0.9242006996391371
1885-05-23,0.9280841466535434
1885-05-25,0.916822063111092
1885-05-26,0.9207093912111315
1885-05-27,0.916975940289598
1885-05-28,0.9132401023880957
1885-05-29,0.9075948701053255
1885-06-01,0.9060408077099026
1885-06-02,0.9099423026375146
1885-06-03,0.9157560613566488
1885-06-04,0.9100932443414199
1885-06-05,0.9044254825913707
1885-06-06,0.9064137596201814
1885-06-08,0.9027302095232502
