,0,1,2,3
1871-01-01,1.0,0.9999198630136986,0.9998397260273972,0.9996794520547945
1871-02-01,1.0045183561643836,1.0042128066337963,1.0039072931758302,1.0032963744777632
1871-03-01,1.0086178918995683,1.0081069513091647,1.0075961711528367,1.0065750920544125
1871-04-01,1.0124086905435035,1.0112858825480666,1.0101638536766127,1.0079221320527085
1871-05-01,1.0168438727248161,1.0155000354997261,1.0141574603638877,1.0114760931046316
1871-06-01,1.0214469717135921,1.0198728064745068,1.0183005019779934,1.0151614686011246
1871-07-01,1.025145877112962,1.0229607279329442,1.0207793125252127,1.0164276631548366
1871-08-01,1.0297952647430246,1.0273786570931556,1.0249667450310866,1.0201569780219517
1871-09-01,1.0344657389382454,1.031815666260577,1.029171355188169,1.0238999758985738
1871-10-01,1.0382206691392084,1.03495303467225,1.0316942987634123,1.0252034398694914
1871-11-01,1.0429381731933658,1.0394359408306524,1.035944031306401,1.0289910750439135
1871-12-01,1.0475242437905585,1.0437930284730383,1.040073616417499,1.0326700705313994
1872-01-01,1.0514891078484638,1.0464789497321654,1.0414896535766514,1.0315733440949604
1872-02-01,1.056275831962439,1.0503762953768734,1.0445059788171878,1.0328524950416378
1872-03-01,1.059172552045984,1.0516468432742798,1.0441684304417296,1.0293524461373595
1872-04-01,1.062407829095788,1.0532007064535305,1.044064610836747,1.026003562610234
1872-05-01,1.0655154031814291,1.0546577405845636,1.0438994810863476,1.0226779256596428
1872-06-01,1.069614427930183,1.0574697060851286,1.0454501754286805,1.0217820363530123
1872-07-01,1.0727717868868527,1.0589752152403122,1.0453409402552216,1.0185523478723226
1872-08-01,1.0761178375008122,1.0606424222607727,1.0453719319376362,1.0154358064384919
1872-09-01,1.0794941624863903,1.0623415828455112,1.0454414665708665,1.0123849583877915
1872-10-01,1.0827386107305457,1.0639395358785158,1.0454444290344997,1.0093479462137895
1872-11-01,1.086175621306185,1.0657028083146909,1.0455910447101084,1.006427011433704
1872-12-01,1.0902953626934115,1.0685644557708163,1.0472405218918488,1.0057851350569926
1873-01-01,1.0937864987613444,1.0701346605346094,1.0469649883411363,1.0020353486224944
1873-02-01,1.0973089666759477,1.0717367487502085,1.046728108288353,0.9983549302077792
1873-03-01,1.1028303906901533,1.0765989185686593,1.0509586215600142,1.0014014329461545
1873-04-01,1.1088764189268963,1.081863339534879,1.0554750559033648,1.004518397294551
1873-05-01,1.1147776608836555,1.087009443531546,1.0598991719177304,1.0075935835081204
1873-06-01,1.120871054658148,1.092298248878866,1.064419547495106,1.010680653537
1873-07-01,1.1268185127914825,1.0974682365931345,1.0688476954065618,1.0137270489144827
1873-08-01,1.1321108551927932,1.1015414974701556,1.0717616963427237,1.0144933154700868
1873-09-01,1.1382805789731594,1.1068741335125487,1.0762978005998136,1.0175520234072637
1873-10-01,1.1443025242813278,1.1120870167966308,1.0807415330037888,1.0205711539975886
1873-11-01,1.1505200790136978,1.1174435743818971,1.0852804895815593,1.0235983918061082
1873-12-01,1.156588695300049,1.122679893645961,1.089727198069485,1.0265872039535353
1874-01-01,1.1628541975742763,1.128770451134334,1.095647476742524,1.032180451541469
1874-02-01,1.1691441863877883,1.1348802830468712,1.1015821018569818,1.0377789955206393
1874-03-01,1.1767015042834352,1.143115552369433,1.110448785057386,1.047777077168705
1874-04-01,1.1857030813235199,1.1531451757047297,1.1214400450343098,1.060503617783357
1874-05-01,1.193663667955742,1.1617442002396825,1.130636105893674,1.0707763335845806
1874-06-01,1.2018278086986378,1.1705252742238519,1.139994931560143,1.0811793631629436
1874-07-01,1.2107612674288069,1.180517043753984,1.1509834070340716,1.0939858094793904
1874-08-01,1.218979690266132,1.1893483734357178,1.1603915282330013,1.1044444841575738
1874-09-01,1.227226877202248,1.1982062231165183,1.1698251066518255,1.1149296989821782
1874-10-01,1.2362663393059181,1.2083130274257317,1.1809432746470216,1.1279102612451364
1874-11-01,1.2445665733913938,1.2172184244130742,1.1904218349474753,1.1384433316390867
1874-12-01,1.252718691688727,1.2259964573359943,1.1997939495979018,1.1489121207110744
1875-01-01,1.262037952537775,1.2373551556890745,1.2131002790360443,1.1658491484724964
1875-02-01,1.2704181025404915,1.2473360168764356,1.2246155124451563,1.1802411222736688
1875-03-01,1.2792773811209168,1.2582496909429206,1.2375053969801308,1.1968563238648393
1875-04-01,1.2886957400859638,1.2697619223034513,1.2510394407555008,1.2142237353069147
1875-05-01,1.2979712273806152,1.28114341976026,1.2644623449747334,1.231540053510151
1875-06-01,1.3074546566029364,1.2927576883337435,1.2781498342436908,1.2492042209117304
1875-07-01,1.31679498596927,1.304241226345981,1.2917264092220218,1.2668182533056718
1875-08-01,1.3263424307775367,1.3159556645315833,1.3055647896818543,1.284776239980557
1875-09-01,1.3359221098153597,1.3277202694777506,1.3194786014940778,1.302881301597189
1875-10-01,1.3453584295280119,1.33935430062338,1.333282059440853,1.320938023787534
1875-11-01,1.3550004865111704,1.3512161392089639,1.3473426736115843,1.3393318567945944
1875-12-01,1.3644990807109332,1.3629476253309671,1.3612934729932353,1.3576788060143383
1876-01-01,1.374202381400289,1.374690490899974,1.3750701956889644,1.3755042882700488
1876-02-01,1.3839364844305442,1.3864772096826248,1.3889098943444964,1.3934490985918782
1876-03-01,1.3900742675211726,1.3930404596744255,1.3958995855648537,1.4012941964327963
1876-04-01,1.3965776166996844,1.3999590395125738,1.4032345426666033,1.409464963467275
1876-05-01,1.4029252114893696,1.4067246622843392,1.4104195962179573,1.4174927052936348
1876-06-01,1.4105743982060843,1.4153441888754552,1.4200138814318717,1.4290488911809494
