,0.5,1.0,1.5,2.0,3.0,3.6
1871-01-01,1.00008698630137,1.0,0.9999198630136986,0.9998397260273972,0.9996794520547945,0.9995832876712328
1871-02-01,1.0050431708086884,1.0045183561643836,1.0042128066337963,1.0039072931758302,1.0032963744777632,1.002929892518356
1871-03-01,1.009541909253804,1.0086178918995683,1.0081069513091647,1.0075961711528367,1.0065750920544125,1.0059627525133314
1871-04-01,1.0137973490796826,1.0116813534065303,1.0101954295188027,1.0087106529744694,1.005744539969077,1.0039670725111072
1871-05-01,1.0186635763552652,1.0161133492533716,1.0144050384182497,1.0126985145422562,1.0092908227716533,1.007249632249011
1871-06-01,1.0237161476939873,1.0207131412724713,1.0187730943055977,1.0168355960628972,1.0129682361009795,1.0106527010202353
1871-07-01,1.0278727333107933,1.0236746426901424,1.020757660976336,1.017846929832208,1.0120441804530815,1.008574481051576
1871-08-01,1.0329753470070193,1.02831735776825,1.025166075603405,1.0220223331419005,1.0157574121420208,1.0120128634344576
1871-09-01,1.0381032913358121,1.032981129149208,1.029593529146631,1.0262148647567317,1.0194842678306253,1.0154629677809948
1871-10-01,1.0423234150815415,1.0359884186856496,1.0316144144350525,1.0272557809573857,1.0185844497003989,1.0134109314616613
1871-11-01,1.0475021918301728,1.0406957797606913,1.0360828593370304,1.0314872304551101,1.0223476308796347,1.016896787419059
1871-12-01,1.052538811958014,1.0452719899703238,1.040425891596717,1.0355990494148695,1.026002873779081,1.0202818000127964
1872-01-01,1.0576440798353526,1.048478584657768,1.0419837454570295,1.035523381569645,1.0227054578459116,1.0150800823643036
1872-02-01,1.0635592078966454,1.0532516038804183,1.0458643498526103,1.0385224275056921,1.0239736126136403,1.0153300979791102
1872-03-01,1.067557211180768,1.0546344736255422,1.0448869443772713,1.035217808212727,1.0161125347107773,1.0047970360239766
1872-04-01,1.0719680016564956,1.0563537203095754,1.0441983923069251,1.032165853491927,1.0084648259643414,0.9944743289142847
1872-05-01,1.0762156339122575,1.0579443201859506,1.0434199514723665,1.0290727330248202,1.0009021447143023,0.9843300085402106
1872-06-01,1.0814738939488768,1.0612647932882555,1.045093248852801,1.0291434549935172,0.9978982766201586,0.9795628083748612
1872-07-01,1.085777793133491,1.0628992932284926,1.0443680643673035,1.0261301924979762,0.9905178127516593,0.9696918972512731
1872-08-01,1.0903084793839404,1.0647193617400579,1.0438085928852938,1.0232736832170244,0.9833069422530824,0.9600167202480195
1872-09-01,1.0948708436078458,1.06656749238238,1.0432861045019204,1.0204730747488322,0.9762176804311283,0.9505190507803771
1872-10-01,1.0992656361743547,1.0682833725237995,1.0426695967247872,1.0176252969140736,0.9691986004103365,0.9411756995400631
1872-11-01,1.103891199454713,1.0701876760284765,1.042220860444866,1.0149353798148044,0.962347104765124,0.9320229688582303
1872-12-01,1.1091442905503783,1.0735033627851678,1.0439334734901993,1.0151264305545822,0.9597278359381402,0.927858928293437
1873-01-01,1.1140851950070532,1.0754545818957104,1.043299665422399,1.0120486817767842,0.9521638442995422,0.9178463139918882
1873-02-01,1.1190611051407138,1.0774344372161826,1.042702751390426,1.0090274852287753,0.9447261074910627,0.908018832642012
1873-03-01,1.1258472225957694,1.0836003300097805,1.0485139140792104,1.0145000378465705,0.9495672883500815,0.9125089221754187
1873-04-01,1.13331511327833,1.0902909970975707,1.0547296684555185,1.0202642586390511,0.9544947727939073,0.9169743781568114
1873-05-01,1.1406126767947262,1.096849366314358,1.0608437702315798,1.0259557399697044,0.9594024319630609,0.9214487961792444
1873-06-01,1.1481706362714421,1.103606698634441,1.0671106524530605,1.031756726040193,0.9643412227099677,0.9259122102597942
1873-07-01,1.1555562496291225,1.110230541955911,1.073275315533345,1.0374849752128255,0.9692611752417962,0.9303860738146629
1873-08-01,1.1623673830961145,1.1154449754300892,1.0772587842181478,1.0403134719219604,0.9699938304698762,0.9299893979768353
