,0.5,1.0,1.5,2.0,3.0,3.6
1871-01-01,1.0,1.0,1.0,1.0,1.0,1.0
1871-02-01,1.0026965753424657,1.0,0.997091095890411,0.9941821917808219,0.9883643835616438,0.984873698630137
1871-03-01,1.005138759604053,1.0,0.994471341476825,0.9889579686470258,0.9779770800675549,0.971417895451154
1871-04-01,1.0078491919989578,1.0,0.9915785197047347,0.9832044008486095,0.9665977138783852,0.9567239356084817
1871-05-01,1.0104792642054758,1.0,0.9887871582554288,0.9776688253862975,0.9557135587988231,0.942719069888054
1871-06-01,1.0132040976734051,1.0,0.9859108712272708,0.9719809356583309,0.9445932424037037,0.9284592171298103
1871-07-01,1.015848143983087,1.0,0.9831354645966242,0.9665085498425011,0.9339568637015688,0.9148681004253594
1871-08-01,1.0185874550398415,1.0,0.9802756178033764,0.9608855884573215,0.9230896998655672,0.9010295298246512
1871-09-01,1.0213341528552469,1.0,0.9774240900302182,0.9552953403831047,0.9123489821797341,0.8874002856133776
1871-10-01,1.023999415267835,1.0,0.9746725742699277,0.9499168967543725,0.9020756826817651,0.8744102041721933
1871-11-01,1.0267607068417455,1.0,0.9718373452131303,0.9443904624248988,0.8915794760397118,0.8611836119030012
1871-12-01,1.0294401303301477,1.0,0.9691015565221536,0.9390734147528901,0.881540046871155,0.8485772994690348
1872-01-01,1.0458872768718637,1.0265604249667994,1.0048921567876,0.9834944436638497,0.9415250198211622,0.9168803287895174
1872-02-01,1.0493560408253355,1.0265604249667994,1.0013459887258183,0.976553128495843,0.928234813774251,0.9000552984361306
1872-03-01,1.0526117757525484,1.0265604249667994,0.9980403124268725,0.9701054699085495,0.9159775366360889,0.8846045792974369
1872-04-01,1.0561028420131984,1.0265604249667994,0.9945183238668138,0.9632586515495593,0.9030479490627836,0.868371818674168
1872-05-01,1.0594924981211942,1.0265604249667994,0.9911219756731152,0.9566794630062357,0.890712066668189,0.8529509626350387
1872-06-01,1.0630063848159903,1.0265604249667994,0.9876244012600583,0.9499274028291114,0.8781391167780854,0.8372990554169709
1872-07-01,1.0664181984593106,1.0265604249667994,0.9842515962842483,0.943439268540747,0.8661434958568374,0.8224300005747744
1872-08-01,1.0699550547610774,1.0265604249667994,0.9807782667812512,0.9367806551169447,0.8539173464887454,0.8073381622086107
1872-09-01,1.0735036413132446,1.0265604249667994,0.9773171943250113,0.9301690369096933,0.8418637767556514,0.7925232636246913
1872-10-01,1.0769491468359802,1.0265604249667994,0.9739795891668576,0.9238158549671841,0.8303636869175591,0.7784493532406843
1872-11-01,1.080520929821466,1.0265604249667994,0.9705425085919908,0.9172957398329896,0.8186425916086917,0.7641645730075428
1872-12-01,1.0839889579564956,1.0265604249667994,0.9672280394496349,0.9110304842729796,0.8074597095216755,0.7505942663518708
1873-01-01,1.0770667317166012,1.0066401062416996,0.9356613162863929,0.8692436659519275,0.7490558546757773,0.6843858483164238
1873-02-01,1.080885892312558,1.0066401062416996,0.9321448959833358,0.8627100495203135,0.7377953903617883,0.6710110738105994
1873-03-01,1.08434768849917,1.0066401062416996,0.9289807109802581,0.8568530755402824,0.7277775439107389,0.6591667172452654
1873-04-01,1.0881926665699646,1.0066401062416996,0.9254893978561838,0.850412592217694,0.7168369538191273,0.6462847936540813
1873-05-01,1.0919268071586739,1.0066401062416996,0.9221234055941178,0.8442267143208776,0.7064084490937038,0.6340620431593028
1873-06-01,1.0957986599536467,1.0066401062416996,0.9186578637266555,0.8378811362640576,0.6957890979699308,0.6216707336796874
1873-07-01,1.099558900560748,1.0066401062416996,0.9153167176606359,0.8317864118345204,0.6856667962980943,0.6099134923794384
1873-08-01,1.1034578159225308,1.0066401062416996,0.9118767568183045,0.8255343405444711,0.6753592518836077,0.5979941117424746
1873-09-01,1.1073705564109082,1.0066401062416996,0.9084497241027826,0.8193292625628718,0.6652066595135108,0.5863076684589945
1873-10-01,1.1111705060599621,1.0066401062416996,0.9051457049007375,0.8133694839543665,0.6555292694805882,0.5752192250744125
1873-11-01,1.1151105949023405,1.0066401062416996,0.9017439689536209,0.8072558423674383,0.6456747787911635,0.563977865473376
1873-12-01,1.1189371045464918,1.0066401062416996,0.8984643384911937,0.801383885486656,0.6362815374887496,0.5533117306641631
1874-01-01,1.1315157264445903,1.0221336874723328,0.9158306227728938,0.820029142051643,0.656096149950884,0.573156937149627
1874-02-01,1.1348120022580932,1.0221336874723328,0.9129682129798546,0.814903173584506,0.6478936898099089,0.5638417079543352
1874-03-01,1.1377979569073224,1.0221336874723328,0.9103908912081986,0.8103022079403336,0.6405776387635513,0.5555646970541819
1874-04-01,1.1411125338048007,1.0221336874723328,0.9075454831843895,0.8052370421385894,0.6325691897739463,0.5465353856205465
1874-05-01,1.1443295332494174,1.0221336874723328,0.9048004689010045,0.8003659095658715,0.6249159691108181,0.5379393572869289
1874-06-01,1.1476631376129904,1.0221336874723328,0.9019725336272449,0.795362855156925,0.6171033210279511,0.5291965015671393
1874-07-01,1.1508986043762883,1.0221336874723328,0.8992443756077259,0.7905514546523045,0.6096372161905279,0.520873183002217
1874-08-01,1.1542513454339138,1.0221336874723328,0.8964338057893881,0.785609749997689,0.6020155818208823,0.512407695163098
1874-09-01,1.1576138535314477,1.0221336874723328,0.8936320203492661,0.7806989357357856,0.5944892324976904,0.5040797926071016
1874-10-01,1.160877373134965,1.0221336874723328,0.8909290895260727,0.7759762418998826,0.58729672715328,0.49615151514573486
1874-11-01,1.1642591838496348,1.0221336874723328,0.8881445089635212,0.7711256463012011,0.5799543917413735,0.4880878160441269
