Date,SPXL,TQQQ,TECL,TPOR,DRN,UTSL,FAS,DPST,CURE,WEBL,LABU,SOXL,NAIL,YINN,HIBL,XLE,KWEB
2018-08-22,50.406303,16.515835,15.241265,37.782761,20.129324,24.835022,70.662224,162.28642299999998,58.243382,36.83920924866097,96.317818,9.975471,55.190334,467.149963,45.97602274850783,60.137276,46.270691
2018-08-23,50.171898,16.433508,15.326906,37.022182,20.103228,24.817017,70.00589000000001,158.92391999999998,58.046516000000004,36.99912209085909,94.202812,10.009575,53.337578,442.684692,45.31804321815474,59.854186999999996,45.211952000000004
2018-08-24,51.031376,16.890060000000002,15.792520000000001,37.489329999999995,20.390295000000002,25.231236,70.893875,157.289917,58.824146,39.07427985930625,94.490768,10.43984,52.733562,462.334015,46.87904369747495,60.290966000000004,45.723377
2018-08-27,52.232693,17.39901,16.231556,38.526665,20.233713,24.766588,72.872536,157.044342,59.513187,40.1688315819661,99.922287,10.92914,54.63898100000001,486.028595,48.87066562922044,60.735825,47.141018
2018-08-28,52.379189000000004,17.476351,16.282745000000002,38.462872,20.938323999999998,24.483843,73.133125,155.37446599999998,59.690365,40.3295423243707,101.610344,11.055725,53.732964,479.286194,48.960698389668906,60.476994,46.656506
2018-08-29,53.180065,18.087585,16.737535,38.568867,20.912226,25.015123000000003,73.45165300000001,155.179855,60.851887,41.24132212430155,104.489937,11.14755,53.734951,493.926819,49.72990992295214,60.849059999999994,46.773151
2018-08-30,52.49639499999999,17.985294,16.595779,37.585506,20.616464999999998,25.103365,72.148643,152.274536,60.615643000000006,40.94774650792764,105.83045200000001,10.834033999999999,51.708335999999996,448.84924299999994,48.448655018807095,60.679207,45.06839
2018-08-31,52.49639499999999,18.037689,16.635158999999998,37.549194,20.807837,24.753982999999998,72.119698,154.654724,60.507369999999995,40.8325048486728,106.545395,11.018995,51.558331,451.73877000000005,48.377667498008314,60.210075,45.481121
2018-09-04,52.25222,17.823133,16.443203,37.616904999999996,20.103228,25.082655,72.90149699999999,157.091568,59.168667000000006,40.27144991191979,105.98931100000001,11.272167999999999,51.956696,444.225891,48.093906061944644,60.08065799999999,44.610802
2018-09-05,51.851788,17.114599,15.779727,38.34903,20.512074,26.110092,72.110031,158.489426,59.660835,37.000719859302926,103.31824499999999,11.110166,53.456791,419.1828,47.19271368439909,59.999782999999994,42.834267
2018-09-06,51.373211,16.648064,15.459798999999999,38.302906,20.668658999999998,26.581941999999998,71.791496,156.128159,59.818332999999996,36.161785166142984,95.65254200000001,10.218805999999999,52.671969999999995,419.56808499999994,45.41989453165396,58.89165500000001,42.843231
2018-09-07,50.972782,16.483404,15.303282000000001,38.168453,20.033635999999998,25.546398,70.942139,155.599228,59.985668000000004,36.77626422393951,94.530472,10.094843,49.7612,407.239136,44.67574858322682,58.883579000000005,42.663784
2018-09-10,51.265781,16.628103,15.436174,40.172466,20.303303,26.113697,71.212379,155.089218,59.434437,37.23842938802345,95.036896,10.424101,50.825176,394.910278,45.53837896993773,58.859306000000004,41.29998
2018-09-11,51.812717,16.997339,15.829928,39.864304,20.285904000000002,25.699474,71.598473,155.71258500000002,59.306473,38.504404601145076,95.017036,10.112554,51.921925,390.864868,45.71656068172534,59.417416,41.515316
2018-09-12,51.832249,16.850145,15.655692000000002,39.834869,20.268504999999998,25.636446,70.68154100000001,147.344208,60.310501,38.369752354979475,93.487877,9.765586,53.494533999999994,401.267395,45.524898465665075,59.72476999999999,42.143390999999994
2018-09-13,52.681965000000005,17.349113,16.1597,39.030125,20.529474,26.239763,70.67189,142.236221,62.397296999999995,38.55760022149544,93.189972,10.109271000000001,51.608996999999995,426.69577000000004,46.133927227137775,59.74904599999999,43.767390999999996
2018-09-14,52.701496,17.216887,16.137056,40.148903000000004,20.077133,25.81654,71.35717,145.965179,61.816536,38.285489418673926,93.011246,10.437218,52.503085999999996,415.13739,47.12081175293636,60.064484,43.076519
2018-09-17,51.851788,16.490889000000003,15.519845000000002,39.074284000000006,20.416389000000002,26.077679,70.546402,142.946518,61.186565,35.82467400789745,88.274788,9.969567,50.347336,409.550873,45.74686115256265,60.161541,42.062641
2018-09-18,52.662426,16.882578,15.796458,39.769112,20.042334,25.708479,71.279938,140.964951,62.121689,36.92656102562439,91.432419,10.249633,51.512634000000006,429.77792400000004,46.94387427669986,60.557880000000004,42.385643
2018-09-19,52.857760999999996,16.845156,15.703926000000001,39.864304,19.276831,24.335262,72.930435,146.22966,61.905131999999995,36.48988250823984,91.79982,10.308007,50.782455,453.08725,48.00452377460292,60.743912,43.767390999999996
2018-09-20,54.088375,17.37406,16.237467000000002,40.139099,19.763968,24.420813,74.802933,151.874054,63.657249,37.43393073401904,96.25824,10.662847,49.641994,461.17810099999997,49.59073834176037,60.760078,44.395458000000005
2018-09-21,53.961406999999994,17.097134,16.076025,39.792664,19.877054,24.753982999999998,74.214157,149.478775,63.903347,36.019942112823415,91.541656,10.567086,48.668427,474.08505199999996,49.51849732271874,61.161575,44.601826
2018-09-24,53.453537,17.244329,16.247309,38.114475,18.6766,24.051613,71.878387,142.621613,64.257698,36.52881038591932,94.967392,10.679243,46.790828999999995,457.51800499999996,49.066635528395686,62.057438,43.525139
2018-09-25,53.251915000000004,17.314184,16.217361,37.477329,18.639835,23.152258,71.597748,142.096817,63.691952,37.27061201155903,95.558784,10.146624000000001,46.896183,461.47012300000006,48.411138224879736,62.456486,43.866085
2018-09-26,52.752773,17.296722,15.985869000000001,38.092842,18.035723,22.479332,69.236641,133.912033,64.125618,37.178434584048446,93.511246,9.860515,44.872601,468.250732,47.44036845252496,61.853832,44.377518
2018-09-27,53.183411,17.775728,16.282377,38.199028000000006,18.219582,23.049917,68.956017,130.084869,65.012695,37.73207453275,93.054024,9.988111,43.423496,468.444489,47.940573298342144,61.853832,44.216011
