,QQQ,QLD,TQQQ
1985-12-31,2.8607183284551563,0.2507297040812473,0.6993645005006418
1986-01-02,2.8382287444987475,0.24665352125157156,0.6821609760525595
1986-01-03,2.8230915245280874,0.2439595016636111,0.6709161597659419
1986-01-06,2.81876660453647,0.24303175678942976,0.6668957761217672
1986-01-07,2.871530628434199,0.2520716384273508,0.7040424612464209
1986-01-08,2.8362825305025194,0.24582263394879103,0.6777964378815791
1986-01-09,2.7852484746014374,0.23691624274219558,0.6408961724348567
1986-01-10,2.8016831705695826,0.23965463972859036,0.6519474701920586
1986-01-13,2.791519608589282,0.23773720964806674,0.643933355311983
1986-01-14,2.7934658225855102,0.23801054051197387,0.6449825624482927
1986-01-15,2.8442836324870115,0.24661127603110095,0.6798808534930912
1986-01-16,2.8773692704228826,0.25228840197455227,0.703293152912593
1986-01-17,2.871098136435038,0.2511279364458072,0.6983750771507364
1986-01-20,2.8457973544840773,0.2465205099980164,0.6789600707467762
1986-01-21,2.834768808505454,0.2445493405400675,0.6707518322036506
1986-01-22,2.802980646567068,0.2390044494967255,0.647874474383005
1986-01-23,2.7954120365817383,0.23765558275146043,0.6423286340177106
1986-01-24,2.815522914542757,0.24101791997715363,0.6559002423443506
1986-01-27,2.8282814285180278,0.24302516192599966,0.6639063252467883
1986-01-28,2.8542309484677304,0.2474258214540544,0.6818767955106853
1986-01-29,2.877369270422882,0.25137797278662155,0.698150875956619
1986-01-30,2.8585558684593475,0.24802869895758575,0.6841307591031435
1986-01-31,2.8745580724283317,0.2507439283111741,0.6952982343650266
1986-02-03,2.902886298373424,0.2555003083571444,0.7148811049828931
1986-02-04,2.910671154358334,0.25680923134328804,0.7203079957921089
1986-02-05,2.93489070631139,0.261021954040471,0.7379658851294453
1986-02-06,2.9547853382728286,0.264498353999457,0.7526405588252079
1986-02-07,2.971652526240136,0.26745439815959055,0.7651876581239192
1986-02-10,2.9870059922103764,0.2700222160825385,0.7759895364887684
1986-02-11,2.9898171902049278,0.27046515161397394,0.7778260824695515
1986-02-12,2.998467030188162,0.27196327881330085,0.7842137276089851
1986-02-13,3.0092793301672045,0.27385848144236136,0.7923369080485655
1986-02-14,3.03090393012529,0.27772878476264046,0.8090600802676554
1986-02-18,3.0434461981009804,0.27975098003938403,0.8175816995158339
1986-02-19,3.019659138147085,0.2753097942409824,0.7980349237252243
1986-02-20,3.026146518134511,0.276426283720035,0.8028147764208916
1986-02-21,3.052312284083795,0.28114051879535246,0.8232777250720694
1986-02-24,3.0317689141236133,0.27715093234000465,0.8055199192505941
1986-02-25,3.014469234157145,0.27392066009835575,0.791361048825033
1986-02-26,3.00322444217894,0.2718099708341722,0.7821388773261864
1986-02-27,3.038905032109782,0.27820231214096847,0.8096558786029532
1986-02-28,3.036742572113974,0.27773823864411845,0.8075527851362875
1986-03-03,3.021821598142895,0.27480529208835874,0.7945306964024679
1986-03-04,3.0391212781093633,0.27788588947120696,0.8078171758634745
1986-03-05,3.032850144121518,0.276672378756885,0.802450616025666
1986-03-06,3.044743674098465,0.27877679063438265,0.8115326370001736
1986-03-07,3.038905032109782,0.2776436141878968,0.806513392280251
1986-03-10,3.0802080180297255,0.2849988308343768,0.8383489889867327
1986-03-11,3.142919357908174,0.2965371437406568,0.8891853170636115
1986-03-12,3.1705988458545233,0.30168824812640255,0.9122702593699721
1986-03-13,3.179032439838177,0.30322252230728186,0.9191473557130183
1986-03-14,3.1788161938385966,0.3031116537804627,0.9185626653578598
1986-03-17,3.165192695865003,0.3002995487589181,0.90553025644868
1986-03-18,3.1924396918121904,0.305399436942262,0.9285163652576209
1986-03-19,3.188979755818897,0.30466742619742965,0.9250967522789304
1986-03-20,3.1961158738050655,0.30596218144759596,0.9309145435183604
1986-03-21,3.200440793796682,0.3067218238321816,0.9343026441604952
1986-03-24,3.1807624078348242,0.3027424959706353,0.915880575877773
1986-03-25,3.1894122478180593,0.3043198914891029,0.9229588741280974
1986-03-26,3.1842223438281185,0.30325945994248804,0.9180534976200485
1986-03-27,3.208658141780756,0.3078440262471322,0.9387908321618637
1986-03-31,3.2190379497606374,0.3095304247061524,0.9461413235554222
1986-04-01,3.210171863777822,0.30775345378759883,0.9379095803892056
1986-04-02,3.2203354257581216,0.3096310162079772,0.9464096720789267
1986-04-03,3.2157942597669242,0.30868624989162485,0.9419944307338227
1986-04-04,3.17946493183734,0.301644377762973,0.9096835435008269
1986-04-07,3.158489069877997,0.29746398011351693,0.8905449583869147
1986-04-08,3.2205516717577036,0.30908920265136447,0.9426773571511371
1986-04-09,3.2233628697522545,0.30956182300210383,0.9447629163127242
1986-04-10,3.281749289639085,0.3207076289021803,0.9957081433459878
1986-04-11,3.301211429601363,0.3244424265248403,1.0130212055800762
1986-04-14,3.328674671548132,0.32962779215712,1.0370571706275853
1986-04-15,3.3500830255066365,0.3337950020015624,1.0566367726314179
1986-04-16,3.4361489333398176,0.35087259053910835,1.1376388184992265
1986-04-17,3.4396088693331115,0.3515044048833455,1.1406212407038985
1986-04-18,3.4093344293917913,0.3452425721955837,1.1100526773873036
1986-04-21,3.4281478313553264,0.34882608484098215,1.1270615221370073
1986-04-22,3.4136593493834098,0.34579987953775354,1.1123000092570836
1986-04-23,3.4050095094001755,0.34396823889497713,1.1033653134188453
1986-04-24,3.4566923032999997,0.35433485202109616,1.1531549347693564
1986-04-25,3.469883309274432,0.3569637609467991,1.1658968385130928
1986-04-28,3.457773533297904,0.35424068936735287,1.152272732960179
1986-04-29,3.422092943367063,0.34685362284597154,1.116136987998536
